GroupSize	 NBO	 PRAC-CONFIG	 MAXIMUM_ACT NUM_ALERTS ROWS_ABOVE_NBO
1	64	4	66	4053	1
2	64	4	66	4868	1
3	64	4	66	4092	2
4	64	4	66	2810	4
5	64	4	66	2443	4
6	64	4	66	2396	5
7	64	4	65	1754	2
8	64	4	65	1568	1
9	64	4	64	1352	0
10	64	4	64	1215	0
11	64	4	66	1384	1
12	64	4	66	1631	6
13	64	4	67	1678	7
14	64	4	67	1672	6
15	64	4	67	1631	3
16	64	4	67	1736	10
17	64	4	65	1474	3
18	64	4	65	1390	3
19	64	4	65	1318	2
20	64	4	65	1254	1
21	64	4	64	1176	0
22	64	4	67	1284	13
23	64	4	67	1439	6
24	64	4	67	1525	13
25	64	4	67	1507	3
26	64	4	66	1433	3
27	64	4	66	1398	3
28	64	4	65	1350	3
29	64	4	65	1302	1
30	64	4	65	1257	3
31	64	4	65	1221	3
32	64	4	66	1274	4
33	64	4	67	1354	7
34	64	4	66	1475	1
35	64	4	67	1445	4
36	64	4	67	1398	3
37	64	4	66	1359	3
38	64	4	66	1336	3
39	64	4	65	1296	2
40	64	4	65	1263	3
41	64	4	65	1228	1
42	64	4	67	1248	1
43	64	4	67	1297	1
44	64	4	67	1421	3
45	64	4	67	1414	5
46	64	4	67	1374	3
47	64	4	67	1344	3
48	64	4	66	1320	3
49	64	4	65	1295	3
50	64	4	65	1265	3
51	64	4	65	1240	1
52	64	4	67	1214	2
53	64	4	67	1246	2
54	64	4	67	1291	1
55	64	4	68	1301	26
56	64	4	67	1326	5
57	64	4	67	1331	3
58	64	4	67	1312	3
59	64	4	66	1290	3
60	64	4	65	1272	3
61	64	4	65	1260	5
62	64	4	65	1224	3
63	64	4	67	1221	6
64	64	4	67	1245	6
65	64	4	67	1267	26
66	64	4	68	1325	32
67	64	4	67	1321	3
68	64	4	67	1308	3
69	64	4	66	1287	3
70	64	4	66	1267	3
71	64	4	65	1253	3
72	64	4	65	1232	2
73	64	4	67	1222	2
74	64	4	67	1235	1
75	64	4	67	1325	2
76	64	4	67	1323	2
77	64	4	67	1320	3
78	64	4	67	1295	2
79	64	4	67	1287	3
80	64	4	66	1271	3
81	64	4	66	1256	3
82	64	4	65	1240	3
83	64	4	67	1228	2
84	64	4	67	1218	2
85	64	4	67	1231	2
86	64	4	67	1302	1
87	64	4	67	1314	2
88	64	4	67	1298	3
89	64	4	67	1286	3
90	64	4	67	1295	5
91	64	4	66	1260	3
92	64	4	65	1242	3
93	64	4	66	1235	2
94	64	4	68	1224	36
95	64	4	67	1229	2
96	64	4	67	1257	1
97	64	4	67	1278	3
98	64	4	71	1268	38
99	64	4	67	1279	3
100	64	4	67	1288	5
110	64	4	67	1264	6
120	64	4	67	1258	5
130	64	4	67	1247	7
140	64	4	67	1241	6
150	64	4	67	1227	3
160	64	4	67	1216	6
170	64	4	69	1224	71
180	64	4	67	1211	6
190	64	4	66	1213	5
200	64	4	66	1216	5
210	64	4	66	1220	3
220	64	4	66	1238	10
230	64	4	67	1231	6
240	64	4	67	1240	8
250	64	4	67	1217	5
260	64	4	67	1221	7
270	64	4	69	1227	160
280	64	4	71	1221	113
290	64	4	67	1218	6
300	64	4	67	1220	6
310	64	4	67	1200	5
320	64	4	67	1209	5
330	64	4	67	1215	3
340	64	4	67	1219	4
350	64	4	67	1190	3
360	64	4	65	1197	6
370	64	4	66	1193	5
380	64	4	67	1223	8
390	64	4	67	1219	5
400	64	4	67	1214	9
410	64	4	67	1205	5
420	64	4	67	1194	8
430	64	4	72	1217	173
440	64	4	67	1208	5
450	64	4	67	1191	5
460	64	4	67	1216	4
470	64	4	67	1195	3
480	64	4	67	1188	4
490	64	4	67	1201	1
500	64	4	67	1177	5
510	64	4	67	1204	4
520	64	4	66	1175	7
530	64	4	67	1199	5
540	64	4	67	1198	6
550	64	4	67	1193	6
560	64	4	67	1214	8
570	64	4	67	1183	5
580	64	4	67	1204	6
590	64	4	67	1168	5
600	64	4	67	1187	6
610	64	4	67	1206	6
620	64	4	67	1166	5
630	64	4	67	1184	5
640	64	4	71	1199	259
650	64	4	66	1160	5
660	64	4	66	1178	3
670	64	4	65	1196	2
680	64	4	66	1214	5
690	64	4	66	1169	5
700	64	4	67	1186	8
710	64	4	67	1203	5
720	64	4	67	1213	7
730	64	4	67	1168	5
740	64	4	67	1183	7
750	64	4	71	1196	306
760	64	4	67	1215	4
770	64	4	67	1156	6
780	64	4	67	1171	3
790	64	4	67	1185	3
800	64	4	65	1201	5
810	64	4	65	1182	2
820	64	4	65	1154	3
830	64	4	65	1168	6
840	64	4	66	1183	5
850	64	4	67	1198	5
860	64	4	67	1212	5
870	64	4	67	1145	6
880	64	4	67	1156	6
890	64	4	67	1171	5
900	64	4	67	1184	4
910	64	4	67	1196	4
920	64	4	67	1209	3
930	64	4	67	1133	4
940	64	4	66	1144	3
950	64	4	65	1156	4
960	64	4	66	1168	4
970	64	4	66	1181	3
980	64	4	66	1195	6
990	64	4	65	1206	1
1000	64	4	66	1138	3
1010	64	4	67	1137	6
1020	64	4	66	1148	6
1030	64	4	67	1160	5
1040	64	4	67	1171	4
1050	64	4	66	1182	5
1060	64	4	67	1193	5
1070	64	4	66	1204	4
1080	64	4	67	1197	3
1090	64	4	67	1122	4
1100	64	4	66	1132	3
1110	64	4	65	1142	3
1120	64	4	65	1153	1
1130	64	4	64	1163	0
1140	64	4	65	1174	3
1150	64	4	66	1185	4
1160	64	4	67	1196	6
1170	64	4	67	1207	6
1180	64	4	66	1173	5
1190	64	4	66	1115	5
