workload,NBO,QPRAC-NoOp,QPRAC,QPRAC+Proactive,QPRAC+Proactive-EA,QPRAC-Ideal
401.bzip2,32.0,1.3623279661779257,0.04989217800431288,0.0,0.0,0.0
403.gcc,32.0,0.0,0.0,0.0,0.0,0.0
429.mcf,32.0,3.071798057216654,0.5355299633647392,0.0,0.0,0.0
433.milc,32.0,0.7045374367933879,0.026105179484400123,0.0,0.0,0.0
434.zeusmp,32.0,2.9025587640329813,0.2304966090570991,0.0,0.0,0.0
435.gromacs,32.0,0.00872515753756665,0.0007760962359332557,0.0,0.0,0.0
436.cactusADM,32.0,2.585793540717258,0.13615654965939167,0.0,0.0,0.0
437.leslie3d,32.0,1.6595081938844376,0.07437928310668004,0.0,0.0,0.0
444.namd,32.0,0.0,0.0,0.0,0.0,0.0
445.gobmk,32.0,0.008229606007612385,0.00041152263374485596,0.0,0.0,0.0
447.dealII,32.0,0.0,0.0,0.0,0.0,0.0
450.soplex,32.0,3.742273072950364,0.2525293332396543,0.0,0.0,0.0
456.hmmer,32.0,1.6411202414891832,0.046257598784194526,0.0,0.0,0.0
458.sjeng,32.0,0.00010362694300518135,0.00010362694300518135,0.0,0.0,0.0
459.GemsFDTD,32.0,0.973104066844478,0.03997726912301105,0.0,0.0,0.0
462.libquantum,32.0,2.310626811162717,0.1559946763281452,0.0,0.0,0.0
464.h264ref,32.0,0.18381915526472337,0.005728607232366631,0.0,0.0,0.0
470.lbm,32.0,3.0486309813279653,0.24292616766974653,0.0,0.0,0.0
471.omnetpp,32.0,3.279200091028048,0.38278123839775585,0.0,0.0,0.0
473.astar,32.0,0.34394538919261786,0.011017478152309614,0.0,0.0,0.0
481.wrf,32.0,0.0,0.0,0.0,0.0,0.0
482.sphinx3,32.0,3.727288295230756,0.1748275763386086,0.0,0.0,0.0
483.xalancbmk,32.0,3.9196170520231215,0.3279507538585066,0.0,0.0,0.0
500.perlbench,32.0,0.37284585926280517,0.008265482358746608,0.0,0.0,0.0
502.gcc,32.0,0.5705415030590814,0.015355628827131419,0.0,0.0,0.0
505.mcf,32.0,2.340003420557551,0.0845113977734582,0.0,0.0,0.0
507.cactuBSSN,32.0,1.3675398976211985,0.13316381156316917,0.0,0.0,0.0
508.namd,32.0,0.0017993226079593564,0.00021164021164021165,0.0,0.0,0.0
510.parest,32.0,3.587413178307674,0.1918673177302576,0.0,0.0,0.0
511.povray,32.0,0.0,0.0,0.0,0.0,0.0
519.lbm,32.0,3.054885259926526,0.23081640547603996,0.0,0.0,0.0
520.omnetpp,32.0,3.2206410758120176,0.1571890651085142,0.0,0.0,0.0
523.xalancbmk,32.0,1.2976996947815083,0.03381365645980023,0.0,0.0,0.0
525.x264,32.0,0.0015625,0.00022323920080366113,0.0,0.0,0.0
526.blender,32.0,0.002240566037735849,0.0002358490566037736,0.0,0.0,0.0
531.deepsjeng,32.0,0.0,0.0,0.0,0.0,0.0
538.imagick,32.0,0.0,0.0,0.0,0.0,0.0
541.leela,32.0,0.0,0.0,0.0,0.0,0.0
544.nab,32.0,0.00020984156961494072,0.00010492078480747036,0.0,0.0,0.0
549.fotonik3d,32.0,1.0935672514619883,0.04613645029385855,0.0,0.0,0.0
557.xz,32.0,2.038604076590488,0.06391675956893349,0.0,0.0,0.0
grep_map0,32.0,0.04548619169180784,0.001682085786375105,0.0,0.0,0.0
h264_encode,32.0,0.0,0.0,0.0,0.0,0.0
jp2_decode,32.0,1.6361287210584343,0.0928430009688698,0.0,0.0,0.0
jp2_encode,32.0,1.1919154751892347,0.05493915533285612,0.0,0.0,0.0
tpcc64,32.0,1.9262893904699596,0.05549461186036007,0.0,0.0,0.0
tpch17,32.0,1.0022406010082705,0.0273276019754893,0.0,0.0,0.0
tpch2,32.0,1.4755918367346939,0.044135990021428345,0.0,0.0,0.0
tpch6,32.0,0.20699156190804202,0.0068175858753605455,0.0,0.0,0.0
wc_8443,32.0,0.09345762711864407,0.002805912948261703,0.0,0.0,0.0
wc_map0,32.0,0.09561522773623385,0.00267847944782116,0.0,0.0,0.0
ycsb_abgsave,32.0,0.9611908177905308,0.023232165206508136,0.0,0.0,0.0
ycsb_aserver,32.0,0.3817102928127773,0.013924703455389376,0.0,0.0,0.0
ycsb_bserver,32.0,0.2122733953944145,0.006926244852115313,0.0,0.0,0.0
ycsb_cserver,32.0,0.1583354161459635,0.0076616222377002465,0.0,0.0,0.0
ycsb_dserver,32.0,0.12534019860242737,0.006227296315516347,0.0,0.0,0.0
ycsb_eserver,32.0,0.38363306191787244,0.00872515753756665,0.0,0.0,0.0
SPEC2K6 (23),32.0,1.5423133698184697,0.11712355250493935,0.0,0.0,0.0
SPEC2K17 (18),32.0,1.0527529693108972,0.05365620135632026,0.0,0.0,0.0
TPC (4),32.0,1.1527783475302416,0.033443947433159565,0.0,0.0,0.0
Hadoop (3),32.0,0.07818634884889526,0.0023888260608193224,0.0,0.0,0.0
MediaBench (3),32.0,0.942681398749223,0.04926071876724197,0.0,0.0,0.0
YCSB (6),32.0,0.37041386377733104,0.011116198267466014,0.0,0.0,0.0
All (57),32.0,1.1025093185243706,0.06796927603553865,0.0,0.0,0.0
